Province,Districts (srŏk) | Municipalities (krong) | 14 sections (khan),Position,Lat,Long,,,,,,,,
Kampot   ,Kampot Municipality  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kandal   ,Kandal Stueng  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Kien Svay  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Khsach Kandal  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Kaoh Thum  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Leuk Daek  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Lvea Aem  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Mukh Kampul  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Angk Snuol  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Ponhea Lueu  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,S'ang   ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kandal   ,Ta Khmau Municipality ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
Kep   ,Damnak Chang'aeur  ,10°29′0″N 104°18′0″E,10.4833333,104.3,,,,,,,,
Kep   ,Kep Municipality  ,10°29′0″N 104°18′0″E,10.4833333,104.3,,,,,,,,
Koh Kong  ,Botum Sakor  ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Koh Kong  ,Kiri Sakor  ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Koh Kong  ,Khemara Phoumin Municipality ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Koh Kong  ,Smach Mean Chey ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Koh Kong  ,Mondol Seima  ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Koh Kong  ,Srae Ambel  ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Koh Kong  ,Thma Bang  ,11°23′57″N 103°29′41″E,11.3991667,103.4947222,,,,,,,,
Kratié   ,Chhloung   ,12°29′0″N 106°1′0″E,12.4833333,106.0166667,,,,,,,,
Kratié   ,Kratié Municipality  ,12°29′0″N 106°1′0″E,12.4833333,106.0166667,,,,,,,,
Kratié   ,Preaek Prasab  ,12°29′0″N 106°1′0″E,12.4833333,106.0166667,,,,,,,,
Kratié   ,Sambour   ,12°29′0″N 106°1′0″E,12.4833333,106.0166667,,,,,,,,
Kratié   ,Snuol   ,12°29′0″N 106°1′0″E,12.4833333,106.0166667,,,,,,,,
Kratié   ,Chitr Borie  ,12°29′0″N 106°1′0″E,12.4833333,106.0166667,,,,,,,,
Mondulkiri   ,Kaev Seima  ,12°27′0″N 107°14′0″E,12.45,107.2333333,,,,,,,,
Mondulkiri   ,Kaoh Nheaek  ,12°27′0″N 107°14′0″E,12.45,107.2333333,,,,,,,,
Mondulkiri   ,Ou Reang  ,12°27′0″N 107°14′0″E,12.45,107.2333333,,,,,,,,
Mondulkiri   ,Pechr Chenda  ,12°27′0″N 107°14′0″E,12.45,107.2333333,,,,,,,,
Mondulkiri   ,Saen Monourom Municipality ,12°27′0″N 107°14′0″E,12.45,107.2333333,,,,,,,,
Oddar Meanchey  ,Anlong Veaeng  ,14°10′0″N 103°30′0″E,14.1666667,103.5,,,,,,,,
Oddar Meanchey  ,Banteay Ampil  ,14°10′0″N 103°30′0″E,14.1666667,103.5,,,,,,,,
Oddar Meanchey  ,Chong Kal  ,14°10′0″N 103°30′0″E,14.1666667,103.5,,,,,,,,
Oddar Meanchey  ,Samraong Municipality  ,14°10′0″N 103°30′0″E,14.1666667,103.5,,,,,,,,
Oddar Meanchey  ,Trapeang Prasat  ,14°10′0″N 103°30′0″E,14.1666667,103.5,,,,,,,,
Pailin,Pailin Municipality  ,12°51′02″N 102°36′34″E,12.8505556,102.6094444,,,,,,,,
Pailin,Sala Krau  ,12°51′02″N 102°36′34″E,12.8505556,102.6094444,,,,,,,,
Preah Vihear  ,Chey Saen  ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Chhaeb   ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Choam Khsant  ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Kuleaen   ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Rovieng   ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Sangkum Thmei  ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Tbaeng Mean Chey ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Preah Vihear  ,Preah Vihear Municipality ,13°47′0″N 104°58′0″E,13.7833333,104.9666667,,,,,,,,
Pursat   ,Bakan   ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Pursat   ,Kandieng   ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Pursat   ,Krakor   ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Pursat   ,Phnum Kravanh  ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Pursat   ,Pursat Municipality  ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Pursat   ,Veal Veaeng  ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Pursat   ,Talou Sen Chey ,12°32′0″N 103°55′0″E,12.5333333,103.9166667,,,,,,,,
Prey Veng  ,Ba Phnum  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Kamchay Mear  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Kampong Trabaek  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Kanhchriech   ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Me Sang  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Peam Chor  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Peam Ro  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Pea Reang  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Preah Sdach  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Prey Veaeng Municipality ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Kampong Leav  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Sithor Kandal  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Pea Reang  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Neak Loeung  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Prey Veng  ,Svay Antor  ,11°29′0″N 105°20′0″E,11.4833333,105.3333333,,,,,,,,
Ratanakiri   ,Andoung Meas  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Banlung Municipality  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Bar Kaev  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Koun Mom  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Lumphat   ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Ou Chum  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Ou Ya Dav ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Ta Veaeng  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Ratanakiri   ,Veun Sai  ,13°44′0″N 107°0′0″E,13.7333333,107,,,,,,,,
Siem Reap  ,Angkor Chum  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Angkor Thom  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Banteay Srei  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Chi Kraeng  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Kralanh   ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Puok   ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Prasat Bakong  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Siem Reap Municipality ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Sout Nikom  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Srei Snam  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Svay Leu  ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Siem Reap  ,Varin   ,13°21′0″N 103°51′0″E,13.35,103.85,,,,,,,,
Sihanoukville   ,Preah Sihanouk Municipality ,10°37′24″N 103°31′30″E,10.6233333,103.525,,,,,,,,
Sihanoukville   ,Prey Nob  ,10°37′24″N 103°31′30″E,10.6233333,103.525,,,,,,,,
Sihanoukville   ,Stueng Hav  ,10°37′24″N 103°31′30″E,10.6233333,103.525,,,,,,,,
Sihanoukville   ,Kampong Seila  ,10°37′24″N 103°31′30″E,10.6233333,103.525,,,,,,,,
Stung Treng  ,Sesan   ,13°31′0″N 105°57′0″E,13.5166667,105.95,,,,,,,,
Stung Treng  ,Siem Bouk  ,13°31′0″N 105°57′0″E,13.5166667,105.95,,,,,,,,
Stung Treng  ,Siem Pang  ,13°31′0″N 105°57′0″E,13.5166667,105.95,,,,,,,,
Stung Treng  ,Stung Treng Municipality ,13°31′0″N 105°57′0″E,13.5166667,105.95,,,,,,,,
Stung Treng  ,Thala Barivat  ,13°31′0″N 105°57′0″E,13.5166667,105.95,,,,,,,,
